"STATION","NAME","DATE","TMAX","TMIN"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-28","66","38"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-29","62","38"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-06-30","61","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-01",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-02","58","49"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-03","57","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-04","57","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-05","56","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-06","63","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-07","63","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-08","63","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-09",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-10","59","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-11","60","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-12","61","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-13",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-14","63","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-15","60","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-16","60","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-17","60","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-18","60","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-19","60","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-20","63","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-21","62","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-22","64","58"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-23","63","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-24","61","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-25","59","55"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-26","59","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-27","57","53"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-28","57","32"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-29",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-30",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-07-31","60","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-01","57","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-02","59","50"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-03","61","31"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-04","61","44"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-05","61","44"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-06","57","54"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-07","56","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-08","56","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-09","56","51"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-10","57","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-11","62","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-12",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-13",,
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-14","63","52"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-15","61","57"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-16","62","56"
"USC00047767","SAN FRANCISCO OCEANSIDE, CA US","2018-08-17","62","55"
