"STATION,""NAME"",""DATE"",""TMAX"",""TMIN"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-27"",""58"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-28"",""66"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-29"",""71"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-06-30"",""68"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-01"",""62"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-02"",""63"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-03"",""68"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-04"",""64"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-05"",""68"",""53"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-06"",""73"",""59"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-07"",""67"",""56"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-08"",""67"",""54"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-09"",""74"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-10"",""77"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-11"",""68"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-12"",""66"",""56"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-13"",""68"",""57"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-14"",""64"",""56"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-15"",""65"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-16"",""65"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-17"",""65"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-18"",""66"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-19"",""66"",""55"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-20"",""71"",""57"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-21"",""66"",""59"""
"USW00023272,""SAN FRANCISCO DOWNTOWN, CA US"",""2018-07-22"",""68"",""58"""
